酒水销售分析(折后)(商品)2025-12-01 10:00:00至2025-12-03 10:00:00(空境·派对KTV（万象城店）),,,,,,,,,,,,,,,,,,,,,,,,
酒水名称,类别名称,单位,区域,成本,,,利润,利润率,合计,,销售数量,,,,销售金额,,,,赠送数量,,,赠送金额,,
,,,,小计,销售,赠送,,,数量,金额,小计,销售,套餐子物品,例送子物品,小计,销售,套餐子物品,例送子物品,小计,赠送,套餐子物品,小计,赠送,套餐子物品
台湾香肠,Fashion小吃,份,KTV区,1,1,0,47,4700,1,48,1,1,0,0,48,48,0,0,0,0,0,0,0,0
精美美式薯条,Fashion小吃,份,KTV区,2,2,0,54,2700,2,56,2,2,0,0,56,56,0,0,0,0,0,0,0,0
芥末黄瓜,Fashion小吃,份,KTV区,2,2,0,54,2700,2,56,2,2,0,0,56,56,0,0,0,0,0,0,0,0
辣卤拼盘,Fashion小吃,份,KTV区,1,1,0,107,10700,1,108,1,1,0,0,108,108,0,0,0,0,0,0,0,0
泰式虾片,Fashion小吃,份,KTV区,0,0,0,0,0,8,304,0,0,0,0,0,0,0,0,8,8,0,304,304,0
长寿面,主食,份,KTV区,0,0,0,50.7857,0,2,50.7857,2,0,2,0,50.7857,0,50.7857,0,0,0,0,0,0,0
纸巾,其他,盒,派对包,12,10,2,41.7414,347.85,12,63.7414,10,6,4,0,53.7414,30,23.7414,0,2,2,0,10,10,0
包厢升级费,其他,元,KTV区,1419,1419,0,0,0,1419,1419,1419,1419,0,0,1419,1419,0,0,0,0,0,0,0,0
房费,其他,份,KTV区,0,0,0,1440.9881,0,1192,1440.9881,1192,0,1192,0,1440.9881,0,1440.9881,0,0,0,0,0,0,0
辣卤鸭脖,凉菜系,份,KTV区,4,4,0,140.9236,3523.09,4,144.9236,4,2,2,0,144.9236,76,68.9236,0,0,0,0,0,0,0
柠檬无骨凤爪,凉菜系,份,KTV区,2,2,0,74,3700,2,76,2,2,0,0,76,76,0,0,0,0,0,0,0,0
香辣海带片,凉菜系,份,KTV区,4,4,0,125.8159,3145.4,4,129.8159,4,1,3,0,129.8159,28,101.8159,0,0,0,0,0,0,0
兰花豆,副食,包,KTV区,2.5,2.5,0,15.5,620,1,18,1,1,0,0,18,18,0,0,0,0,0,0,0,0
鱿鱼丝,副食,包,KTV区,9.8,9.8,0,28.2,287.76,1,38,1,1,0,0,38,38,0,0,0,0,0,0,0,0
卤水花生,卤味小吃,份,KTV区,12,10,2,300.4617,2503.85,12,368.4617,10,3,7,0,312.4617,84,228.4617,0,2,2,0,56,56,0
香辣豆干,卤味小吃,份,KTV区,11,10,1,268.5718,2441.56,11,305.5718,10,2,8,0,279.5718,26,253.5718,0,1,1,0,26,26,0
辣卤藕,卤味小吃,份,KTV区,5,3,2,70,1400,5,125,3,3,0,0,75,75,0,0,2,2,0,50,50,0
辣卤鸭翅中,卤味小吃,份,KTV区,1,1,0,37,3700,1,38,1,1,0,0,38,38,0,0,0,0,0,0,0,0
香辣腐竹,卤味小吃,份,KTV区,0,0,0,323.8629,0,11,323.8629,11,1,10,0,323.8629,0,323.8629,0,0,0,0,0,0,0
喜力小瓶,啤酒,瓶,KTV区,13.0808,13.0808,0,70.9192,542.16,3,84,3,3,0,0,84,84,0,0,0,0,0,0,0,0
喜力铝罐,啤酒,瓶,KTV区,18.2885,18.2885,0,125.7115,687.38,3,144,3,3,0,0,144,144,0,0,0,0,0,0,0,0
青岛小瓶,啤酒,瓶,KTV区,253.3099,253.3099,0,1177.2948,464.76,64,1430.6047,64,1,63,0,1430.6047,28,1402.6047,0,0,0,0,0,0,0
青岛崂山,啤酒,瓶,KTV区,746.6667,718.6667,28,5018.8922,672.17,320,6029.5589,308,32,276,0,5765.5589,0,5765.5589,0,12,12,0,264,264,0
蓝带拉环,啤酒,瓶,KTV区,44.6088,28.1739,16.4349,235.3912,527.68,19,476,12,0,12,0,280,0,280,0,7,7,0,196,196,0
菊花茶,悠悠茶香,壶,KTV区,8,1,7,40,500,8,384,1,0,1,0,48,0,48,0,7,7,0,336,336,0
铁观音,悠悠茶香,壶,KTV区,1,1,0,47,4700,1,48,1,1,0,0,48,48,0,0,0,0,0,0,0,0
什锦果盘,群果荟萃,份,KTV区,10,9,1,985.6163,9856.16,10,1093.6163,9,2,7,0,995.6163,196,799.6163,0,1,1,0,98,98,0
水果沙拉,群果荟萃,份,KTV区,1,1,0,67,6700,1,68,1,1,0,0,68,68,0,0,0,0,0,0,0,0
可乐,饮料,听,KTV区,16.497,14.664,1.833,47.503,287.95,9,72,8,8,0,0,64,64,0,0,1,1,0,8,8,0
雪碧,饮料,听,KTV区,5.4954,3.6636,1.8318,10.5046,191.15,3,24,2,2,0,0,16,16,0,0,1,1,0,8,8,0
红牛,饮料,听,派对包,5.1609,5.1609,0,9.8391,190.65,1,15,1,1,0,0,15,15,0,0,0,0,0,0,0,0
百岁山,饮料,瓶,KTV区,38.9422,38.9422,0,259.1268,665.41,27,298.069,27,12,15,0,298.069,96,202.069,0,0,0,0,0,0,0
脉动,饮料,瓶,KTV区,3.7324,3.7324,0,8.2676,221.51,1,12,1,1,0,0,12,12,0,0,0,0,0,0,0,0
合计,,,,2654.0826,2590.9829,63.0997,11282.9174,425.12,3161,15293,3117,1515,1602,0,13937,2947,10990,0,44,44,0,1356,1356,0